weight,source,target
1,George Clooney,Jeff Bridges
1,George Clooney,Meryl Streep
1,George Clooney,Philip Seymour Hoffman
1,Gene Hackman,Keanu Reeves
1,Jude Law,Rachel McAdams
2,Jude Law,Robert Downey Jr.
1,Rachel McAdams,Robert Downey Jr.
1,Gary Oldman,Robert Duvall
1,Robert De Niro,Will Smith
1,Christopher Plummer,Gerard Butler
1,Pierce Brosnan,Woody Harrelson
1,Bruce Willis,Colin Farrell
1,Eddie Murphy,Jackie Chan
1,Dennis Quaid,Julianne Moore
1,Gene Hackman,Sigourney Weaver
1,Al Pacino,John Cusack
1,Julianne Moore,Pierce Brosnan
1,Christian Bale,Johnny Depp
1,Ben Kingsley,Leonardo DiCaprio
1,Ben Kingsley,Mark Ruffalo
1,Leonardo DiCaprio,Mark Ruffalo
1,Matthew McConaughey,Woody Harrelson
1,Christopher Plummer,Colin Farrell
1,Ewan McGregor,Pierce Brosnan
1,Jennifer Lopez,Woody Harrelson
1,Liam Neeson,Owen Wilson
1,Hugh Jackman,Kate Winslet
1,Meryl Streep,Pierce Brosnan
1,Vince Vaughn,Will Ferrell
1,Anne Hathaway,Dwayne Johnson
1,Anne Hathaway,Steve Carell
1,Dwayne Johnson,Steve Carell
1,Ice Cube,Samuel L. Jackson
1,Nicolas Cage,Val Kilmer
1,Julia Roberts,Kirsten Dunst
1,Anthony Hopkins,Morgan Freeman
1,Gene Hackman,Russell Crowe
1,Leonardo DiCaprio,Russell Crowe
1,Keanu Reeves,Morgan Freeman
1,Al Pacino,John Goodman
2,Anne Hathaway,Johnny Depp
1,Dennis Quaid,Gene Hackman
1,Dennis Quaid,Kevin Costner
1,Gene Hackman,Kevin Costner
1,Natalie Portman,Scarlett Johansson
1,Reese Witherspoon,Robert Duvall
1,Reese Witherspoon,Vince Vaughn
1,Robert Duvall,Vince Vaughn
1,Jennifer Aniston,Mark Wahlberg
1,Cate Blanchett,John Cusack
1,Morgan Freeman,Owen Wilson
1,Gerard Butler,Pierce Brosnan
1,Will Ferrell,Woody Harrelson
1,Ewan McGregor,Tom Hanks
1,Mel Gibson,Tom Hanks
1,Kate Winslet,Susan Sarandon
1,Denzel Washington,Forest Whitaker
1,Ed Harris,Will Ferrell
1,Jennifer Aniston,Owen Wilson
1,Meryl Streep,Philip Seymour Hoffman
1,Denzel Washington,Meryl Streep
1,Kirsten Dunst,Will Ferrell
1,Ben Affleck,Rachel McAdams
1,Ben Affleck,Russell Crowe
1,Rachel McAdams,Russell Crowe
2,Jennifer Aniston,Paul Rudd
1,Catherine Keener,Robert Downey Jr.
1,Gary Oldman,Jim Carrey
1,Denzel Washington,John Travolta
1,Nicole Kidman,Robert Downey Jr.
1,Julianne Moore,Ralph Fiennes
1,Denzel Washington,Gary Oldman
1,Cate Blanchett,Russell Crowe
1,Antonio Banderas,Woody Harrelson
1,Natalie Portman,Susan Sarandon
1,Alec Baldwin,Meryl Streep
1,John Travolta,Robin Williams
1,Matt Damon,Morgan Freeman
1,Colin Farrell,Jeff Bridges
1,Aaron Eckhart,Jennifer Aniston
1,Drew Barrymore,Robert De Niro
1,Ethan Hawke,Richard Gere
1,Brendan Fraser,Harrison Ford
1,Gerard Butler,Jennifer Aniston
3,Jason Statham,Sylvester Stallone
2,Mark Wahlberg,Will Ferrell
1,Aaron Eckhart,Nicole Kidman
2,Julianne Moore,Liam Neeson
1,Liam Neeson,Sandra Bullock
1,Mel Gibson,Robert Downey Jr.
1,Dustin Hoffman,Jake Gyllenhaal
1,Dustin Hoffman,Susan Sarandon
1,Jake Gyllenhaal,Susan Sarandon
